Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Late Fees to Date,Renewal
3241,167,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,169,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,170,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,172,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,176,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,4821,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,4822,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,6749,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,6753,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,6757,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,6764,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3241,7061,"Folding Chair, Metal",11/24/2021 7:25 PM,12/4/2021 11:10 AM,12/1/2021,$0.00,
3126,608,Heat Gun,4/24/2021 11:27 AM,5/1/2021 11:39 AM,5/1/2021,$0.00,
3428,7629,Ladder,11/28/2021 5:31 PM,12/4/2021 11:59 AM,12/5/2021,$0.00,
2394,7925,"SDHC Card, 16GB",2/6/2021 9:38 AM,2/13/2021 9:22 AM,2/13/2021,$0.00,
2394,7925,"SDHC Card, 16GB",2/13/2021 9:22 AM,2/27/2021 9:43 AM,2/20/2021,$0.00,Renewal
3132,7534,Staple Gun,5/1/2021 10:09 AM,5/11/2021 7:22 PM,5/8/2021,$0.00,
2924,209,Fruit Picker,11/29/2020 4:31 PM,3/6/2021 10:16 AM,12/19/2020,$0.00,Renewal
